Candy Plus,16 Beaver Street,,New York,NY,10004,11-7,Shopping,S-Candy & Chocolate
VMS Candy & Cigar Corporation,42 Broadway,Lobby,New York,NY,10004,22-20,Personal and Professional Services,P-Newsstands
"Christopher Norman Chocolates, Ltd.",60 New Street,,New York,NY,10004,24-1,Shopping,S-Candy & Chocolate
La Maison du Chocolat,63 Wall Street,,New York,NY,10005,27-9,Shopping,S-Candy & Chocolate
Leonidas Belgian Chocolates,3 Hanover Square,,New York,NY,10004,28-1,Shopping,S-Candy & Chocolate
Downtown Manhattan Candy Store,77 Water Street,,New York,NY,10005,33-1,Shopping,S-Candy & Chocolate
Pine Street Nuts & Candy,79 Pine Street,,New York,NY,10005,39-1001,Shopping,S-Candy & Chocolate
JD Candy News,65 Nassau Street,,New York,NY,10038,65-1001,Personal and Professional Services,P-Newsstands
Candy Nail Salon,25 Maiden Lane,2nd Floor,New York,NY,10038,65-4,Personal and Professional Services,P-Nail Salon
Godiva Chocolatier,33 Maiden Lane,,New York,NY,10038,67-23,Shopping,S-Candy & Chocolate
Evelyn's Chocolates,29 John Street,,New York,NY,10038,79-7503,Shopping,S-Candy & Chocolate
Candy's Quality Cleaners,57 Murray Street,,New York,NY,10007,,,
